timestamp,num_process,num_fds,num_conn,num_ssh,num_active_users,cpu_usage,cpu_load,ram,tx_bytes,rx_bytes,failed_logins
54438,173,88947,16,0,1,8.0,37.5,83.4,34694,1963522,0
54468,173,85781,17,0,1,7.7,36.5,83.7,212156,2979826,0
54493,170,82458,17,0,1,4.6,36.5,82.8,38601,2076133,0
54518,168,82921,6,0,1,6.4,36.0,82.9,48334,2601363,0
54543,168,83206,6,0,1,3.7,36.0,82.7,45689,2658166,0
54567,168,82811,4,0,1,5.9,35.0,83.1,43746,2565187,0
54592,168,82393,4,0,1,4.9,34.5,83.5,13185,481861,0
54616,168,82393,4,0,1,6.6,34.5,83.5,24827,1449341,0
54640,166,82103,4,0,1,5.1,33.5,83.6,2892,5253,0
54664,166,81686,4,0,1,4.9,33.0,82.8,3628,5814,0
54689,166,81276,4,0,1,5.4,32.0,83.1,2754,5435,0
54713,164,81252,4,0,1,5.2,31.5,83.0,3055,5659,0
54738,164,80979,7,0,1,40.7,30.5,82.7,170186,1110197,0
54763,164,84641,12,0,1,6.5,30.0,82.7,129100,3202073,0
54787,164,83456,11,0,1,5.5,30.5,83.1,56127,2371276,0
54812,165,83109,11,0,1,3.4,30.5,83.6,50208,1817217,0
54837,165,82995,11,0,1,5.2,31.0,83.8,39373,1833624,0
54861,165,82055,11,0,1,5.6,30.0,83.9,6638,9036,0
54885,165,82592,11,0,1,5.6,28.999999999999996,84.1,10709,8449,0
54910,165,82824,11,0,1,6.4,28.499999999999996,84.1,5624,7864,0
54934,165,82619,9,0,1,5.7,28.499999999999996,84.1,4764,7414,0
54958,164,82320,9,0,1,5.2,28.999999999999996,84.2,9041,8997,0
54983,164,84317,12,0,1,5.4,110.5,75.9,256934,2496025,0
55007,165,83776,12,0,1,7.5,112.00000000000001,76.7,63508,2998639,0
55032,164,83753,13,0,1,6.1,135.5,73.8,55449,2897165,0
55061,1184,82331,13,0,1,8.8,1205.0,33.7,71555,2973640,0
55104,160,65847,13,0,1,5.7,1173.5,34.4,45952,2522692,0
55128,161,65863,13,0,1,4.2,1142.5,34.7,30466,1280494,0
55152,161,65102,11,0,1,55.3,1113.0,35.1,6788,8410,0
55177,161,65113,11,0,1,52.0,1084.5,35.1,3968,7006,0
55201,160,64612,9,0,1,6.2,1062.5,34.9,4919,7180,0
55225,161,65690,5,0,1,4.9,1034.0,35.3,2029,5072,0
55248,161,65405,4,0,1,5.1,1007.0,35.3,4013,5690,0
55272,1038,64895,8,0,1,18.7,1191.0,35.6,180351,1321858,0
55301,160,71679,27,0,1,5.4,1159.5,38.3,184216,3100864,0
55325,161,68857,26,0,1,4.9,1135.0,38.5,46390,2177114,0
55349,161,67277,16,0,1,6.6,1105.0,38.7,44639,1667235,0
55373,161,67159,16,0,1,5.1,1076.5,39.0,35019,2200844,0
55397,158,67404,17,0,1,5.9,1048.0,39.4,40668,1657013,0
55421,278,67181,12,0,1,100.0,2070.5,42.0,96355,2634242,0
56175,155,22524,2,0,1,0.0,9.5,34.2,423,817,0
56200,155,22532,3,0,1,0.5,9.0,34.3,131494,16269,0
56223,155,22532,2,0,1,0.8,9.0,34.3,916,3110,0
56246,156,22549,1,0,1,0.0,8.5,34.3,578,2698,0
56269,157,22563,1,0,1,0.3,8.5,34.5,338,2302,0
58470,158,46725,3,0,1,2.0,359.0,88.4,502,1270,0
58496,158,45422,4,0,1,3.5,350.0,88.3,136812,18490,0
58541,158,45851,3,0,1,4.3,336.0,88.7,502,1036,0
58565,160,47696,4,0,1,2.0,328.0,87.7,136765,16728,0
58591,193,48224,4,0,1,100.0,371.0,88.1,1523,4962,0
58634,160,47259,3,0,1,2.6,384.5,87.4,1381,4638,0
58657,160,47259,3,0,1,0.0,374.5,87.5,1171,3543,0
58680,160,47259,3,0,1,100.0,373.0,88.1,1381,4912,0
58715,193,47787,3,0,1,100.0,428.0,88.2,1351,6060,0
58772,159,53803,3,0,1,0.0,456.50000000000006,86.4,1057,0,0
58797,192,52591,4,0,1,100.0,492.5,86.7,17410,0,0
58839,158,48127,3,0,1,0.3,486.5,86.2,4690,0,0
58862,191,48655,3,0,1,100.0,521.5,86.8,4584,0,0
59108,160,52938,4,0,1,4.8,424.0,87.0,587,1234,0
59133,193,52174,4,0,1,100.0,444.5,87.0,141006,19526,0
59176,193,49552,3,0,1,72.9,497.0,85.9,1498,9243,0
59225,162,52128,3,0,1,0.3,479.0,85.8,502,1606,0
59250,164,52224,4,0,1,0.0,466.0,86.4,140969,16795,0
59273,164,48728,4,0,1,0.0,453.5,86.3,1405,5445,0
59297,164,49165,3,0,1,0.5,444.00000000000006,86.4,1408,4304,0
59320,163,49154,3,0,1,2.3,432.0,86.4,1321,4463,0
59343,163,48728,3,0,1,100.0,456.50000000000006,87.0,1381,6696,0
59421,195,48816,3,0,1,100.0,565.5,87.0,1861,13028,0
59504,195,47942,3,0,1,4.0,658.0,85.8,1861,13311,0
59555,161,47837,3,0,1,0.3,641.0,86.2,1171,4138,0
59578,161,47837,3,0,1,3.0,624.0,86.3,1261,5330,0
59601,159,47721,4,0,1,0.8,610.5,86.4,9088,12902,0
59625,164,48723,4,0,1,32.1,596.5,89.2,2018,7472,0
59630,163,48276,4,0,1,2.8,593.5,89.5,647,1225,0
59649,163,48284,5,0,1,0.0,581.0,89.5,142876,19840,0
59654,163,47847,4,0,1,0.5,578.5,89.7,142908,19993,0
59673,163,48284,4,0,1,0.3,566.0,89.8,2686,6171,0
59678,163,48284,4,0,1,0.3,563.0,90.0,2716,6906,0
59696,163,48284,3,0,1,0.0,554.0,89.9,2720,9151,0
59701,163,48284,3,0,1,0.0,551.0,89.9,2428,8056,0
59720,163,47847,3,0,1,0.3,539.5,89.9,2252,6724,0
59725,163,47847,3,0,1,0.0,536.5,89.9,2372,7075,0
59743,163,47847,3,0,1,0.0,525.0,89.9,2462,7168,0
59748,163,47847,3,0,1,0.0,522.0,89.9,2342,7383,0
59766,163,47847,3,0,1,0.3,513.5,89.9,2252,6275,0
59771,163,47847,3,0,1,0.0,511.00000000000006,89.9,2462,6681,0
59789,163,48284,3,0,1,0.0,500.5,89.9,2462,6489,0
59794,163,48284,3,0,1,0.3,498.00000000000006,89.9,2252,5930,0
59813,163,48284,3,0,1,1.3,487.5,89.9,2252,7140,0
59818,163,48284,3,0,1,1.5,484.99999999999994,90.0,2372,6592,0
59836,164,48296,3,0,1,1.5,476.99999999999994,90.0,2372,6530,0
